"item","base_item","quaked","model","description"
"func_wall_vanilla","func_wall","/* QUAKED func_wall (0 .5 .8) ? TRIGGER_SPAWN TOGGLE START_ON ANIMATED ANIMATED_FAST","","Triggerable solid wall. Can materialize out of thin air and vanish. Used mostly for forcefields and monster closets."
"func_water_vanilla","func_water","/* QUAKED func_water (0 .5 .8) ? START_OPEN","","Movable target brush that must be targeted in order to operate. It's recommended to use a texture with liquid properties."
"info_notnull_vanilla","info_notnull","/* QUAKED info_notnull (0 0.5 0) (-4 -4 -4) (4 4 4)","","Positional target for target_laser, turret_breach and teleporter_destination."
"info_null_vanilla","info_null","/* QUAKED info_null (0 0.5 0) (-4 -4 -4) (4 4 4)","","Positional target for spotlights."
"info_player_coop_vanilla","info_player_coop","/* QUAKED info_player_coop (1 0 1) (-16 -16 -24) (16 16 32)","","Starting point for cooperative matches."
"info_player_deathmatch_vanilla","info_player_deathmatch","/* QUAKED info_player_deathmatch (1 0 1) (-16 -16 -24) (16 16 32)","","Starting point for deathmatches."
"info_player_intermission_vanilla","info_player_intermission","/* QUAKED info_player_intermission (1 0 1) (-16 -16 -24) (16 16 32)","","Camera point for end-of-match."
"info_player_start_vanilla","info_player_start","/* QUAKED info_player_start (1 0 0) (-16 -16 -24) (16 16 32)","","Starting point for single-player matches."
"item_adrenaline_vanilla","item_adrenaline","/* QUAKED item_adrenaline (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/adrenal/tris.md2","Adrenaline. Restores health and adds 1HP permanently in SP."
"item_ancient_head_vanilla","item_ancient_head","/* QUAKED item_ancient_head (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/c_head/tris.md2","John Carmack's Head. Adds 2HP permanently."
"item_armor_body_vanilla","item_armor_body","/* QUAKED item_armor_body (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/armor/body/tris.md2","Body Armor. Grants 100 AP."
"item_armor_combat_vanilla","item_armor_combat","/* QUAKED item_armor_combat (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/armor/combat/tris.md2","Combat Armor. Grants 50 AP."
"item_armor_jacket_vanilla","item_armor_jacket","/* QUAKED item_armor_jacket (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/armor/jacket/tris.md2","Jacket Armor. Grants 10 AP."
"item_armor_shard_vanilla","item_armor_shard","/* QUAKED item_armor_shard (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/armor/shard/tris.md2","Armor Shard. Grants 5 AP."
"item_bandolier_vanilla","item_bandolier","/* QUAKED item_bandolier (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/band/tris.md2","Bandolier. Extends the ammunition count for all weapons except grenades and rockets."
"item_breather_vanilla","item_breather","/* QUAKED item_breather (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/breather/tris.md2","Rebreather. Allows players to breathe in water areas for a certain period of time."
"item_enviro_vanilla","item_enviro","/* QUAKED item_enviro (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/enviro/tris.md2","Environment Suit. Provides protection from slime areas."
"item_health_vanilla","item_health","/* QUAKED item_health (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/healing/medium/tris.md2","Medium Health. Provides 10 HP when collected."
"item_health_large_vanilla","item_health_large","/* QUAKED item_health_large (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/healing/large/tris.md2","Large Health. Provides 25 HP when collected."
"item_health_mega_vanilla","item_health_mega","/* QUAKED item_health_mega (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/mega_h/tris.md2","Megahealth. Provides 100 HP when collected. The health from this item overstacks."
"item_health_small_vanilla","item_health_small","/* QUAKED item_health_small (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/healing/stimpack/tris.md2","Stimpack. Provides 5 HP when collected. The health from this item overstacks."
"item_invulnerability_vanilla","item_invulnerability","/* QUAKED item_invulnerability (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/invulner/tris.md2","Invulnerability. Offers protection against anything that isn't the void or a death pit."
"item_pack_vanilla","item_pack","/* QUAKED item_pack (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/pack/tris.md2","Ammo Pack. Extends the ammunition count for all weapons."
"item_power_screen_vanilla","item_power_screen","/* QUAKED item_power_screen (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/armor/screen/tris.md2","Power Screen. Offers frontal partial protection from damage. Consumes cells."
"item_power_shield_vanilla","item_power_shield","/* QUAKED item_power_shield (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/armor/shield/tris.md2","Power Shield. Offers full-body partial protection from damage. Consumes cells."
"item_quad_vanilla","item_quad","/* QUAKED item_quad (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/quaddama/tris.md2","Quad Damage. Multiplies weapon damage."
"item_silencer_vanilla","item_silencer","/* QUAKED item_silencer (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/silencer/tris.md2","Silencer. Silences the player and its weapon fire."
"key_airstrike_target_vanilla","key_airstrike_target","/* QUAKED key_airstrike_target (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/target/tris.md2","Airstrike Marker."
"key_blue_key_vanilla","key_blue_key","/* QUAKED key_blue_key (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/key/tris.md2","Blue Key."
"key_commander_head_vanilla","key_commander_head","/* QUAKED key_commander_head (0 .5 .8) (-16 -16 -16) (16 16 16)","models/monsters/commandr/head/tris.md2","Commander's Head."
"key_data_cd_vanilla","key_data_cd","/* QUAKED key_data_cd (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/data_cd/tris.md2","Data CD."
"key_data_spinner_vanilla","key_data_spinner","/* QUAKED key_data_spinner (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/spinner/tris.md2","Data Spinner."
"key_pass_vanilla","key_pass","/* QUAKED key_pass (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/pass/tris.md2","Security Pass."
"key_power_cube_vanilla","key_power_cube","/* QUAKED key_power_cube (0 .5 .8) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN NO_TOUCH","models/items/keys/power/tris.md2","Power Cube."
"key_pyramid_vanilla","key_pyramid","/* QUAKED key_pyramid (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/pyramid/tris.md2","Pyramid Key."
"key_red_key_vanilla","key_red_key","/* QUAKED key_red_key (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/red_key/tris.md2","Red Key."
"light_vanilla","light","/* QUAKED light (0 1 0) (-8 -8 -8) (8 8 8) START_OFF","","Light source."
"light_mine1_vanilla","light_mine1","/* QUAKED light_mine1 (0 1 0) (-2 -2 -12) (2 2 12)","models/objects/minelite/light1/tris.md2","Predefined light source with a model attached on it."
"light_mine2_vanilla","light_mine2","/* QUAKED light_mine2 (0 1 0) (-2 -2 -12) (2 2 12)","models/objects/minelite/light2/tris.md2","Predefined light source with a model attached on it."
"misc_banner_vanilla","misc_banner","/* QUAKED misc_banner (1 .5 0) (-4 -4 -4) (4 4 4)","models/objects/banner/tris.md2","Banner."
"misc_bigviper_vanilla","misc_bigviper","/* QUAKED misc_bigviper (1 .5 0) (-176 -120 -24) (176 120 72)","models/ships/bigviper/tris.md2","Big Viper."
"misc_blackhole_vanilla","misc_blackhole","/* QUAKED misc_blackhole (1 .5 0) (-8 -8 -8) (8 8 8)","models/objects/black/tris.md2","Blackhole Generator. Requires 256x256x256 of space."
"misc_deadsoldier_vanilla","misc_deadsoldier","/* QUAKED misc_deadsoldier (1 .5 0) (-16 -16 0) (16 16 16) ON_BACK ON_STOMACH BACK_DECAP FETAL_POS SIT_DECAP IMPALED","models/deadbods/dude/tris.md2","Dead Soldier. Does nothing except be gibbed on fire. Must be placed on the floor, otherwise it will float!"
"misc_easterchick_vanilla","misc_easterchick","/* QUAKED misc_easterchick (1 .5 0) (-32 -32 0) (32 32 32)","models/monsters/bitch/tris.md2","Easter egg Iron Maiden."
"misc_easterchick2_vanilla","misc_easterchick2","/* QUAKED misc_easterchick2 (1 .5 0) (-32 -32 0) (32 32 32)","models/monsters/bitch/tris.md2","Easter egg Iron Maiden 2."
"misc_eastertank_vanilla","misc_eastertank","/* QUAKED misc_eastertank (1 .5 0) (-32 -32 -16) (32 32 32)","models/monsters/tank/tris.md2","Easter egg Tank."
"misc_explobox_vanilla","misc_explobox","/* QUAKED misc_explobox (0 .5 .8) (-16 -16 0) (16 16 40)","models/objects/barrels/tris.md2","Exploding barrel."
"misc_gib_arm_vanilla","misc_gib_arm","/* QUAKED misc_gib_arm (1 0 0) (-8 -8 -8) (8 8 8)","models/objects/gibs/arm/tris.md2","Arm."
"misc_gib_head_vanilla","misc_gib_head","/* QUAKED misc_gib_head (1 0 0) (-8 -8 -8) (8 8 8)","models/objects/gibs/head/tris.md2","Head."
"misc_gib_leg_vanilla","misc_gib_leg","/* QUAKED misc_gib_leg (1 0 0) (-8 -8 -8) (8 8 8)","models/objects/gibs/leg/tris.md2","Leg."
"misc_insane_vanilla","misc_insane","/* QUAKED misc_insane (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn CRAWL CRUCIFIED STAND_GROUND ALWAYS_STAND","models/monsters/insane/tris.md2","Insane soldier. Begs to be killed. Can't be rescued. Can follow (optionally) a path set with path_corners."
"misc_satellite_dish_vanilla","misc_satellite_dish","/* QUAKED misc_satellite_dish (1 .5 0) (-64 -64 0) (64 64 128)","models/objects/satellite/tris.md2","Satellite Dish. Can be placed as a static decoration (space) or triggered, in whose case it will tilt up and rotate to the left (base3)."
"misc_strogg_ship_vanilla","misc_strogg_ship","/* QUAKED misc_strogg_ship (1 .5 0) (-16 -16 0) (16 16 32)","models/ships/strogg1/tris.md2","Strogg Ship."
"misc_teleporter_vanilla","misc_teleporter","/* QUAKED misc_teleporter (1 0 0) (-32 -32 -24) (32 32 -16)","models/objects/dmspot/tris.md2","Teleporter. Teleports the player to a certain location. Must be used in tandem with misc_teleporter_dest."
"misc_teleporter_dest_vanilla","misc_teleporter_dest","/* QUAKED misc_teleporter_dest (1 0 0) (-32 -32 -24) (32 32 -16)","models/objects/dmspot/tris.md2","Teleporter destination. Must be the target of a misc_teleporter."
"misc_viper_vanilla","misc_viper","/* QUAKED misc_viper (1 .5 0) (-16 -16 0) (16 16 32)","models/ships/viper/tris.md2","Viper."
"misc_viper_bomb_vanilla","misc_viper_bomb","/* QUAKED misc_viper_bomb (1 0 0) (-8 -8 -8) (8 8 8)","models/objects/bomb/tris.md2","Viper Bomber. Drops bombs into an area marked previously with key_airstrike_target."
"monster_berserk_vanilla","monster_berserk","/* QUAKED monster_berserk (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/berserk/tris.md2","Berserker."
"monster_boss2_vanilla","monster_boss2","/* QUAKED monster_boss2 (1 .5 0) (-56 -56 0) (56 56 80) Ambush Trigger_Spawn Sight","models/monsters/boss2/tris.md2","Hornet."
"monster_boss3_stand_vanilla","monster_boss3_stand","/* QUAKED monster_boss3_stand (1 .5 0) (-32 -32 0) (32 32 90)","models/monsters/boss3/rider/tris.md2","DECORATION ONLY. Standing, invulnerable Jorg (boss1). For the real thing use monster_jorg."
"monster_brain_vanilla","monster_brain","/* QUAKED monster_brain (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/brain/tris.md2","Brains."
"monster_chick_vanilla","monster_chick","/* QUAKED monster_chick (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/bitch/tris.md2","Iron Maiden."
"monster_commander_body_vanilla","monster_commander_body","/* QUAKED monster_commander_body (1 .5 0) (-32 -32 0) (32 32 48)","models/monsters/commandr/tris.md2","DECORATION ONLY. Tank Commander's body. Usually located near a Commander's Head. For the real thing use instead monster_tank_commander."
"monster_flipper_vanilla","monster_flipper","/* QUAKED monster_flipper (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/flipper/tris.md2","Barracuda Shark."
"monster_floater_vanilla","monster_floater","/* QUAKED monster_floater (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/float/tris.md2","Technician."
"monster_flyer_vanilla","monster_flyer","/* QUAKED monster_flyer (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/flyer/tris.md2","Flyer."
"monster_gladiator_vanilla","monster_gladiator","/* QUAKED monster_gladiator (1 .5 0) (-32 -32 -24) (32 32 64) Ambush Trigger_Spawn Sight","models/monsters/gladiatr/tris.md2","Gladiator."
"monster_gunner_vanilla","monster_gunner","/* QUAKED monster_gunner (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/gunner/tris.md2","Gunner."
"monster_hover_vanilla","monster_hover","/* QUAKED monster_hover (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/hover/tris.md2","Icarus."
"monster_infantry_vanilla","monster_infantry","/* QUAKED monster_infantry (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/infantry/tris.md2","Enforcer."
"monster_jorg_vanilla","monster_jorg","/* QUAKED monster_jorg (1 .5 0) (-80 -80 0) (90 90 140) Ambush Trigger_Spawn Sight","models/monsters/boss3/jorg/tris.md2","Jorg."
"monster_makron_vanilla","monster_makron","/* QUAKED monster_makron (1 .5 0) (-30 -30 0) (30 30 90) Ambush Trigger_Spawn Sight","models/monsters/boss3/rider/tris.md2","BROKEN. Makron. Use monster_jorg instead."
"monster_medic_vanilla","monster_medic","/* QUAKED monster_medic (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/medic/tris.md2","Medic."
"monster_mutant_vanilla","monster_mutant","/* QUAKED monster_mutant (1 .5 0) (-32 -32 -24) (32 32 32) Ambush Trigger_Spawn Sight","models/monsters/mutant/tris.md2","Mutant."
"monster_parasite_vanilla","monster_parasite","/* QUAKED monster_parasite (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/parasite/tris.md2","Parasite."
"monster_soldier_vanilla","monster_soldier","/* QUAKED monster_soldier (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/soldier/tris.md2","Machinegun Guard."
"monster_soldier_light_vanilla","monster_soldier_light","/* QUAKED monster_soldier_light (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/soldier/tris.md2","Light Guard."
"monster_soldier_ss_vanilla","monster_soldier_ss","/* QUAKED monster_soldier_ss (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/soldier/tris.md2","Shotgun Guard."
"monster_supertank_vanilla","monster_supertank","/* QUAKED monster_supertank (1 .5 0) (-64 -64 0) (64 64 72) Ambush Trigger_Spawn Sight","models/monsters/boss1/tris.md2","Supertank."
"monster_tank_vanilla","monster_tank","/* QUAKED monster_tank (1 .5 0) (-32 -32 -16) (32 32 72) Ambush Trigger_Spawn Sight","models/monsters/tank/tris.md2","Tank."
"monster_tank_commander_vanilla","monster_tank_commander","/* QUAKED monster_tank_commander (1 .5 0) (-32 -32 -16) (32 32 72) Ambush Trigger_Spawn Sight","models/monsters/tank/tris.md2","Tank Commander."
"path_corner_vanilla","path_corner","/* QUAKED path_corner (.5 .3 0) (-8 -8 -8) (8 8 8) TELEPORT","","Path corner. Used mostly for func_trains and trigger_elevator-triggered func_plat. Also controls the patrol routes of monsters, misc_insanes, misc_vipers, misc_bigvipers and misc_strogg_ships."
"point_combat_vanilla","point_combat","/* QUAKED point_combat (0.5 0.3 0) (-8 -8 -8) (8 8 8) Hold","","Combat points for monsters. A monster which is engaging the player will stop at this point and use their ranged attack. Can be linked in order to form a network that the monster will travel. Afterwards they will chase the player."
"target_blaster_vanilla","target_blaster","/* QUAKED target_blaster (1 0 0) (-8 -8 -8) (8 8 8) NOTRAIL NOEFFECTS","","Blaster fire. Must be triggered in order to work."
"target_changelevel_vanilla","target_changelevel","/* QUAKED target_changelevel (1 0 0) (-8 -8 -8) (8 8 8)","","Level entrance/exit points in SP."
"target_character_vanilla","target_character","/* QUAKED target_character (0 0 1) ?","","One of eight 8x16 brushes required for the style of a func_clock to work."
"target_crosslevel_target_vanilla","target_crosslevel_target","/* QUAKED target_crosslevel_target (.5 .5 .5) (-8 -8 -8) (8 8 8) trigger1 trigger2 trigger3 trigger4 trigger5 trigger6 trigger7 trigger8","","Targeted event of a target_crosslevel_trigger in SP."
"target_crosslevel_trigger_vanilla","target_crosslevel_trigger","/* QUAKED target_crosslevel_trigger (.5 .5 .5) (-8 -8 -8) (8 8 8) trigger1 trigger2 trigger3 trigger4 trigger5 trigger6 trigger7 trigger8","","Triggers up to eight events in another level of the unit in SP."
"target_earthquake_vanilla","target_earthquake","/* QUAKED target_earthquake (1 0 0) (-8 -8 -8) (8 8 8)","","An earthquake. Must be triggered in order to work."
"target_explosion_vanilla","target_explosion","/* QUAKED target_explosion (1 0 0) (-8 -8 -8) (8 8 8)","","Creates a visual explosion that can inflict damage."
"target_goal_vanilla","target_goal","/* QUAKED target_goal (1 0 1) (-8 -8 -8) (8 8 8)","","Goal target. When the map is being loaded in SP, the game counts all of them. When a goal has been triggered, it adds 1 to the goal count."
"target_help_vanilla","target_help","/* QUAKED target_help (1 0 1) (-16 -16 -24) (16 16 24) help1","","Computer updater target. Updates the help computer in SP."
"target_laser_vanilla","target_laser","/* QUAKED target_laser (0 .5 .8) (-8 -8 -8) (8 8 8) START_ON RED GREEN BLUE YELLOW ORANGE FAT","","Laser that inflicts damage. Moving lasers must be targeted to func_train."
"target_lightramp_vanilla","target_lightramp","/* QUAKED target_lightramp (0 .5 .8) (-8 -8 -8) (8 8 8) TOGGLE","","Target that makes a light fade in/out."
"target_secret_vanilla","target_secret","/* QUAKED target_secret (1 0 1) (-8 -8 -8) (8 8 8)","","Secret target. When the map is being loaded in SP, the game counts all of them. When a secret has been triggered, it adds 1 to the secret count."
"target_spawner_vanilla","target_spawner","/* QUAKED target_spawner (1 0 0) (-8 -8 -8) (8 8 8)","","Spawns another entity. Can be an item or a monster."
"target_speaker_vanilla","target_speaker","/* QUAKED target_speaker (1 0 0) (-8 -8 -8) (8 8 8) looped-on looped-off reliable","","Plays a sound in a particular area."
"target_splash_vanilla","target_splash","/* QUAKED target_splash (1 0 0) (-8 -8 -8) (8 8 8)","","Spawns liquid splashes in an area."
"target_string_vanilla","target_string","/* QUAKED target_string (0 0 1) (-8 -8 -8) (8 8 8)","","Entity that allows func_clock to use target_characters."
"target_temp_entity_vanilla","target_temp_entity","/* QUAKED target_temp_entity (1 0 0) (-8 -8 -8) (8 8 8)","","Spawns a specific sprite."
"trigger_always_vanilla","trigger_always","/* QUAKED trigger_always (.5 .5 .5) (-8 -8 -8) (8 8 8)","","Trigger that activates at the beginning of the level."
"trigger_counter_vanilla","trigger_counter","/* QUAKED trigger_counter (.5 .5 .5) ? nomessage","","Trigger that activates when two or more actions take place. (I.E. a door that opens with two buttons)"
"trigger_elevator_vanilla","trigger_elevator","/* QUAKED trigger_elevator (0.3 0.1 0.6) (-8 -8 -8) (8 8 8)","","Elevator trigger. Used in elevators that span multiple levels such as the lava room one in ''Borehole'' (mine2). Must be used in tandem with func_button and func_train (and ofc path_corner)."
"trigger_gravity_vanilla","trigger_gravity","/* QUAKED trigger_gravity (.5 .5 .5) ?","","Trigger that affects the gravity of anything inside of it."
"trigger_hurt_vanilla","trigger_hurt","/* QUAKED trigger_hurt (.5 .5 .5) ? START_OFF TOGGLE SILENT NO_PROTECTION SLOW","","Trigger that damages anything inside of it."
"trigger_key_vanilla","trigger_key","/* QUAKED trigger_key (.5 .5 .5) (-8 -8 -8) (8 8 8)","","Trigger that requires a key_ item in order to be operated."
"trigger_monsterjump_vanilla","trigger_monsterjump","/* QUAKED trigger_monsterjump (.5 .5 .5) ?","","Entity that can only be triggered by a monster. Makes the monster jump over something."
"trigger_multiple_vanilla","trigger_multiple","/* QUAKED trigger_multiple (.5 .5 .5) ? MONSTER NOT_PLAYER TRIGGERED","","Trigger that can be activated multiple times."
"trigger_once_vanilla","trigger_once","/* QUAKED trigger_once (.5 .5 .5) ? x x TRIGGERED","","Trigger that can be activated only once."
"trigger_push_vanilla","trigger_push","/* QUAKED trigger_push (.5 .5 .5) ? PUSH_ONCE","","Trigger that pushes the player in any direction. Used for wind tunnels."
"trigger_relay_vanilla","trigger_relay","/* QUAKED trigger_relay (.5 .5 .5) (-8 -8 -8) (8 8 8)","","Trigger that relays actions."
"turret_base_vanilla","turret_base","/* QUAKED turret_base (0 0 0) ?","","Turret base."
"turret_breach_vanilla","turret_breach","/* QUAKED turret_breach (0 0 0) ?","","Turret cannon."
"turret_driver_vanilla","turret_driver","/* QUAKED turret_driver (1 .5 0) (-16 -16 -24) (16 16 32)","models/monsters/infantry/tris.md2","Turret driver. Usually an Enforcer (monster_infantry)."
"viewthing_vanilla","viewthing","/* QUAKED viewthing (0 .5 .8) (-8 -8 -8) (8 8 8)","models/objects/banner/tris.md2","BROKEN. DON'T USE."
"weapon_bfg_vanilla","weapon_bfg","/* QUAKED weapon_bfg (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_bfg/tris.md2","BFG10K."
"weapon_chaingun_vanilla","weapon_chaingun","/* QUAKED weapon_chaingun (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_chain/tris.md2","Chaingun."
"weapon_grenadelauncher_vanilla","weapon_grenadelauncher","/* QUAKED weapon_grenadelauncher (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_launch/tris.md2","Grenade Launcher."
"weapon_hyperblaster_vanilla","weapon_hyperblaster","/* QUAKED weapon_hyperblaster (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_hyperb/tris.md2","Hyperblaster."
"weapon_machinegun_vanilla","weapon_machinegun","/* QUAKED weapon_machinegun (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_machn/tris.md2","Machinegun."
"weapon_railgun_vanilla","weapon_railgun","/* QUAKED weapon_railgun (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_rail/tris.md2","Railgun."
"weapon_rocketlauncher_vanilla","weapon_rocketlauncher","/* QUAKED weapon_rocketlauncher (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_rocket/tris.md2","Rocket Launcher."
"weapon_shotgun_vanilla","weapon_shotgun","/* QUAKED weapon_shotgun (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_shotg/tris.md2","Shotgun."
"weapon_supershotgun_vanilla","weapon_supershotgun","/* QUAKED weapon_supershotgun (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_shotg2/tris.md2","Super Shotgun."
"worldspawn_vanilla","worldspawn","/* QUAKED worldspawn (0 0 0) ?","","Main world entity. All maps have one."
