"item","base_item","quaked","model","description"
"func_button_rogue","func_button","/* QUAKED func_button (0 .5 .8) ?","","A button. When touched, it moves some distance in the direction of its angle, triggers all of its targets, waits some time, and returns into its original position, so it can be triggered again."
"func_clock_rogue","func_clock","/* QUAKED func_clock (0 0 1) (-8 -8 -8) (8 8 8) TIMER_UP TIMER_DOWN START_OFF MULTI_USE","","A clock. Can be triggered, or start at the beginning of the level. Must be used in tandem with target_characters and/or target_string."
"func_conveyor_rogue","func_conveyor","/* QUAKED func_conveyor (0 .5 .8) ? START_ON TOGGLE","","OBSOLETE. Use func_train instead. A stationary brush that moves whatever is non them. Needs at least one ''current content'' enabled. (?)"
"func_door_rogue","func_door","/* QUAKED func_door (0 .5 .8) ? START_OPEN x CRUSHER NOMONSTER ANIMATED TOGGLE ANIMATED_FAST","","A door. Has multiple uses, but usually signals the entrance/exit to/from somewhere."
"func_door_rotating_rogue","func_door_rotating","/* QUAKED func_door_rotating (0 .5 .8) ? START_OPEN REVERSE CRUSHER NOMONSTER ANIMATED TOGGLE X_AXIS Y_AXIS","","A rotating door."
"func_door_secret_rogue","func_door_secret","/* QUAKED func_door_secret (0 .5 .8) ? always_shoot 1st_left 1st_down","","Secret door. After being shot or triggered, slides back and then to the side."
"func_door_secret2_rogue","func_door_secret2","/* QUAKED func_door_secret2 (0 .5 .8) ? open_once 1st_left 1st_down no_shoot always_shoot slide_right slide_forward","","Another version of func_door_secret."
"func_explosive_rogue","func_explosive","/* QUAKED func_explosive (0 .5 .8) ? Trigger_Spawn ANIMATED ANIMATED_FAST INACTIVE","","Object that explodes when triggered."
"func_force_wall_rogue","func_force_wall","/* QUAKED func_force_wall (1 0 1) ? start_on","","Vertical particle force wall."
"func_group_rogue","func_group","/* QUAKED func_group (0 .5 .8)","","EDITOR-ONLY. Groups brushes for many tasks."
"func_killbox_rogue","func_killbox","/* QUAKED func_killbox (1 0 0) ?","","A brush that kills everything inside of it. Must be triggered in order to work. Ignores all kinds of protection."
"func_object_rogue","func_object","/* QUAKED func_object (0 .5 .8) ? TRIGGER_SPAWN ANIMATED ANIMATED_FAST","","Object that falls down when triggered."
"func_plat_rogue","func_plat","/* QUAKED func_plat (0 .5 .8) ? PLAT_LOW_TRIGGER","","An elevating platform. These are always drawn in the extended position so they will light correctly. If it's in the tatget of another trigger/button, starts out disabled in the extended position until triggered."
"func_plat2_rogue","func_plat2","/* QUAKED func_plat2 (0 .5 .8) ? PLAT_LOW_TRIGGER PLAT2_TOGGLE PLAT2_TOP PLAT2_TRIGGER_TOP PLAT2_TRIGGER_BOTTOM BOX_LIFT","","Platform with more options and utilities."
"func_rotating_rogue","func_rotating","/* QUAKED func_rotating (0 .5 .8) ? START_ON REVERSE X_AXIS Y_AXIS TOUCH_PAIN STOP ANIMATED ANIMATED_FAST EAST MED HARD DM COOP ACCEL","","A rotating object."
"func_timer_rogue","func_timer","/* QUAKED func_timer (0.3 0.1 0.6) (-8 -8 -8) (8 8 8) START_ON","","A timer. Once a certain amount of time passed, it triggers all of its targets and restarts."
"func_train_rogue","func_train","/* QUAKED func_train (0 .5 .8) ? START_ON TOGGLE BLOCK_STOPS","","Moving, rideable platform. The train follows a set of path_corner that are used for its trajectory, with a small origin brush determining the ''railing'' point of the train. The train spawns in the first target it's pointing at. If the train is the target of a button or trigger, it won't move until triggered."
"func_wall_rogue","func_wall","/* QUAKED func_wall (0 .5 .8) ? TRIGGER_SPAWN TOGGLE START_ON ANIMATED ANIMATED_FAST","","Triggerable solid wall. Can materialize out of thin air and vanish. Used mostly for forcefields and monster closets."
"func_water_rogue","func_water","/* QUAKED func_water (0 .5 .8) ? START_OPEN","","Movable target brush that must be targeted in order to operate. It's recommended to use a texture with liquid properties."
"hint_path_rogue","hint_path","/* QUAKED hint_path (.5 .3 0) (-8 -8 -8) (8 8 8) END","","Gets the monsters to walk around the map."
"info_notnull_rogue","info_notnull","/* QUAKED info_notnull (0 0.5 0) (-4 -4 -4) (4 4 4)","","Positional target for target_laser, turret_breach and teleporter_destination."
"info_null_rogue","info_null","/* QUAKED info_null (0 0.5 0) (-4 -4 -4) (4 4 4)","","Positional target for spotlights."
"info_player_coop_rogue","info_player_coop","/* QUAKED info_player_coop (1 0 1) (-16 -16 -24) (16 16 32)","","Starting point for cooperative matches."
"info_player_coop_lava_rogue","info_player_coop_lava","/* QUAKED info_player_coop_lava (1 0 1) (-16 -16 -24) (16 16 32)","","Potential spawning position for coop games with a lava level that needs to be checked such as rmine2."
"info_player_deathmatch_rogue","info_player_deathmatch","/* QUAKED info_player_deathmatch (1 0 1) (-16 -16 -24) (16 16 32)","","Starting point for deathmatches."
"info_player_intermission_rogue","info_player_intermission","/* QUAKED info_player_intermission (1 0 1) (-16 -16 -24) (16 16 32)","","Camera point for end-of-match."
"info_player_start_rogue","info_player_start","/* QUAKED info_player_start (1 0 0) (-16 -16 -24) (16 16 32)","","Starting point for single-player matches."
"info_teleport_destination_rogue","info_teleport_destination","/* QUAKED info_teleport_destination (.5 .5 .5) (-16 -16 -24) (16 16 32)","","Destination point for trigger_teleport."
"item_adrenaline_rogue","item_adrenaline","/* QUAKED item_adrenaline (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/adrenal/tris.md2","Adrenaline. Restores health and adds 1HP permanently in SP."
"item_ancient_head_rogue","item_ancient_head","/* QUAKED item_ancient_head (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/c_head/tris.md2","John Carmack's Head. Adds 2HP permanently."
"item_armor_body_rogue","item_armor_body","/* QUAKED item_armor_body (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/armor/body/tris.md2","Body Armor. Grants 100 AP."
"item_armor_combat_rogue","item_armor_combat","/* QUAKED item_armor_combat (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/armor/combat/tris.md2","Combat Armor. Grants 50 AP."
"item_armor_jacket_rogue","item_armor_jacket","/* QUAKED item_armor_jacket (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/armor/jacket/tris.md2","Jacket Armor. Grants 10 AP."
"item_armor_shard_rogue","item_armor_shard","/* QUAKED item_armor_shard (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/armor/shard/tris.md2","Armor Shard. Grants 5 AP."
"item_bandolier_rogue","item_bandolier","/* QUAKED item_bandolier (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/band/tris.md2","Bandolier. Extends the ammunition count for all weapons except grenades and rockets."
"item_breather_rogue","item_breather","/* QUAKED item_breather (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/breather/tris.md2","Rebreather. Allows players to breathe in water areas for a certain period of time."
"item_compass_rogue","item_compass","/* QUAKED item_compass (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/objects/fire/tris.md2","Compass. Cut item. Unknown use."
"item_doppleganger_rogue","item_doppleganger","/* QUAKED item_doppleganger (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/dopple/tris.md2","Doppleganger. Leaves a decoy."
"item_double_rogue","item_double","/* QUAKED item_double (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/ddamage/tris.md2","Double Damage. Multiplies weapon damage. Can Stack with Quad Damage."
"item_enviro_rogue","item_enviro","/* QUAKED item_enviro (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/enviro/tris.md2","Environment Suit. Provides protection from slime areas."
"item_health_large_rogue","item_health_large","/* QUAKED item_health_large (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/healing/large/tris.md2","Large Health. Provides 25 HP when collected."
"item_health_mega_rogue","item_health_mega","/* QUAKED item_health_mega (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/mega_h/tris.md2","Megahealth. Provides 100 HP when collected. The health from this item overstacks."
"item_health_rogue","item_health","/* QUAKED item_health (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/healing/medium/tris.md2","Medium Health. Provides 10 HP when collected."
"item_health_small_rogue","item_health_small","/* QUAKED item_health_small (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/healing/stimpack/tris.md2","Stimpack. Provides 5 HP when collected. The health from this item overstacks."
"item_invulnerability_rogue","item_invulnerability","/* QUAKED item_invulnerability (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/invulner/tris.md2","Invulnerability. Offers protection against anything that isn't the void or a death pit."
"item_ir_goggles_rogue","item_ir_goggles","/* QUAKED item_ir_goggles (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/goggles/tris.md2","IR Goggles. Highlights enemies."
"item_pack_rogue","item_pack","/* QUAKED item_pack (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/pack/tris.md2","Ammo Pack. Extends the ammunition count for all weapons."
"item_power_screen_rogue","item_power_screen","/* QUAKED item_power_screen (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/armor/screen/tris.md2","Power Screen. Offers frontal partial protection from damage. Consumes cells."
"item_power_shield_rogue","item_power_shield","/* QUAKED item_power_shield (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/armor/shield/tris.md2","Power Shield. Offers full-body partial protection from damage. Consumes cells."
"item_quad_rogue","item_quad","/* QUAKED item_quad (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/quaddama/tris.md2","Quad Damage. Multiplies weapon damage."
"item_silencer_rogue","item_silencer","/* QUAKED item_silencer (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/silencer/tris.md2","Silencer. Silences the player and its weapon fire."
"item_sphere_defender_rogue","item_sphere_defender","/* QUAKED item_sphere_defender (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/defender/tris.md2","Defender Sphere. Sentinel sphere that shoots anything that seeks to kill the player."
"item_sphere_hunter_rogue","item_sphere_hunter","/* QUAKED item_sphere_hunter (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/hunter/tris.md2","Hunter Sphere. MP item that chases enemies who attack the player."
"item_sphere_vengeance_rogue","item_sphere_vengeance","/* QUAKED item_sphere_vengeance (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/vengnce/tris.md2","Vengeance Sphere. MP item that chases enemies who fragged the player."
"key_airstrike_target_rogue","key_airstrike_target","/* QUAKED key_airstrike_target (0 .5 .8) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/keys/target/tris.md2","Airstrike Marker."
"key_blue_key_rogue","key_blue_key","/* QUAKED key_blue_key (0 .5 .8) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/keys/key/tris.md2","Blue Key."
"key_commander_head_rogue","key_commander_head","/* QUAKED key_commander_head (0 .5 .8) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/monsters/commandr/head/tris.md2","Commander's Head."
"key_data_cd_rogue","key_data_cd","/* QUAKED key_data_cd (0 .5 .8) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/keys/data_cd/tris.md2","Data CD."
"key_data_spinner_rogue","key_data_spinner","/* QUAKED key_data_spinner (0 .5 .8) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/keys/spinner/tris.md2","Data Spinner."
"key_nuke_rogue","key_nuke","/* QUAKED key_nuke (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_nuke/tris.md2","AM-Bomb cooked."
"key_nuke_container_rogue","key_nuke_container","/* QUAKED key_nuke_container (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_nuke/tris.md2","AM-Bomb container."
"key_pass_rogue","key_pass","/* QUAKED key_pass (0 .5 .8) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/keys/pass/tris.md2","Security Pass."
"key_power_cube_rogue","key_power_cube","/* QUAKED key_power_cube (0 .5 .8) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN NO_TOUCH","models/items/keys/power/tris.md2","Power Cube."
"key_pyramid_rogue","key_pyramid","/* QUAKED key_pyramid (0 .5 .8) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/keys/pyramid/tris.md2","Pyramid Key."
"key_red_key_rogue","key_red_key","/* QUAKED key_red_key (0 .5 .8) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/keys/red_key/tris.md2","Red Key."
"light_rogue","light","/* QUAKED light (0 1 0) (-8 -8 -8) (8 8 8) START_OFF","","Light source."
"light_mine1_rogue","light_mine1","/* QUAKED light_mine1 (0 1 0) (-2 -2 -12) (2 2 12)","models/objects/minelite/light1/tris.md2","Predefined light source with a model attached on it."
"light_mine2_rogue","light_mine2","/* QUAKED light_mine2 (0 1 0) (-2 -2 -12) (2 2 12)","models/objects/minelite/light2/tris.md2","Predefined light source with a model attached on it."
"misc_banner_rogue","misc_banner","/* QUAKED misc_banner (1 .5 0) (-4 -4 -4) (4 4 4)","models/objects/banner/tris.md2","Banner."
"misc_bigviper_rogue","misc_bigviper","/* QUAKED misc_bigviper (1 .5 0) (-176 -120 -24) (176 120 72)","models/ships/bigviper/tris.md2","Big Viper."
"misc_blackhole_rogue","misc_blackhole","/* QUAKED misc_blackhole (1 .5 0) (-8 -8 -8) (8 8 8)","models/objects/black/tris.md2","Blackhole Generator. Requires 256x256x256 of space."
"misc_deadsoldier_rogue","misc_deadsoldier","/* QUAKED misc_deadsoldier (1 .5 0) (-16 -16 0) (16 16 16) ON_BACK ON_STOMACH BACK_DECAP FETAL_POS SIT_DECAP IMPALED","models/deadbods/dude/tris.md2","Dead Soldier. Does nothing except be gibbed on fire. Must be placed on the floor, otherwise it will float!"
"misc_easterchick_rogue","misc_easterchick","/* QUAKED misc_easterchick (1 .5 0) (-32 -32 0) (32 32 32)","models/monsters/bitch/tris.md2","Easter egg Iron Maiden."
"misc_easterchick2_rogue","misc_easterchick2","/* QUAKED misc_easterchick2 (1 .5 0) (-32 -32 0) (32 32 32)","models/monsters/bitch/tris.md2","Easter egg Iron Maiden 2."
"misc_eastertank_rogue","misc_eastertank","/* QUAKED misc_eastertank (1 .5 0) (-32 -32 -16) (32 32 32)","models/monsters/tank/tris.md2","Easter egg Tank."
"misc_explobox_rogue","misc_explobox","/* QUAKED misc_explobox (0 .5 .8) (-16 -16 0) (16 16 40)","models/objects/barrels/tris.md2","Exploding barrel."
"misc_gib_arm_rogue","misc_gib_arm","/* QUAKED misc_gib_arm (1 0 0) (-8 -8 -8) (8 8 8)","models/objects/gibs/arm/tris.md2","Arm."
"misc_gib_head_rogue","misc_gib_head","/* QUAKED misc_gib_head (1 0 0) (-8 -8 -8) (8 8 8)","models/objects/gibs/head/tris.md2","Head."
"misc_gib_leg_rogue","misc_gib_leg","/* QUAKED misc_gib_leg (1 0 0) (-8 -8 -8) (8 8 8)","models/objects/gibs/leg/tris.md2","Leg."
"misc_insane_rogue","misc_insane","/* QUAKED misc_insane (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn CRAWL CRUCIFIED STAND_GROUND ALWAYS_STAND","models/monsters/insane/tris.md2","Insane soldier. Begs to be killed. Can't be rescued. Can follow (optionally) a path set with path_corners."
"misc_nuke_core_rogue","misc_nuke_core","/* QUAKED misc_nuke_core (1 0 0) (-16 -16 -16) (16 16 16)","models/objects/core/tris.md2","AM-Bomb core."
"misc_satellite_dish_rogue","misc_satellite_dish","/* QUAKED misc_satellite_dish (1 .5 0) (-64 -64 0) (64 64 128)","models/objects/satellite/tris.md2","Satellite Dish. Can be placed as a static decoration (space) or triggered, in whose case it will tilt up and rotate to the left (base3)."
"misc_strogg_ship_rogue","misc_strogg_ship","/* QUAKED misc_strogg_ship (1 .5 0) (-16 -16 0) (16 16 32)","models/ships/strogg1/tris.md2","Strogg Ship."
"misc_teleporter_rogue","misc_teleporter","/* QUAKED misc_teleporter (1 0 0) (-32 -32 -24) (32 32 -16)","models/objects/dmspot/tris.md2","Teleporter. Teleports the player to a certain location. Must be used in tandem with misc_teleporter_dest."
"misc_teleporter_dest_rogue","misc_teleporter_dest","/* QUAKED misc_teleporter_dest (1 0 0) (-32 -32 -24) (32 32 -16)","models/objects/dmspot/tris.md2","Teleporter destination. Must be the target of a misc_teleporter."
"misc_viper_rogue","misc_viper","/* QUAKED misc_viper (1 .5 0) (-16 -16 0) (16 16 32)","models/ships/viper/tris.md2","Viper."
"misc_viper_bomb_rogue","misc_viper_bomb","/* QUAKED misc_viper_bomb (1 0 0) (-8 -8 -8) (8 8 8)","models/objects/bomb/tris.md2","Viper Bomber. Drops bombs into an area marked previously with key_airstrike_target."
"monster_berserk_rogue","monster_berserk","/* QUAKED monster_berserk (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/berserk/tris.md2","Berserker."
"monster_boss2_rogue","monster_boss2","/* QUAKED monster_boss2 (1 .5 0) (-56 -56 0) (56 56 80) Ambush Trigger_Spawn Sight","models/monsters/boss2/tris.md2","Hornet."
"monster_boss3_stand_rogue","monster_boss3_stand","/* QUAKED monster_boss3_stand (1 .5 0) (-32 -32 0) (32 32 90)","models/monsters/boss3/rider/tris.md2","DECORATION ONLY. Standing, invulnerable Jorg (boss1). For the real thing use monster_jorg."
"monster_brain_rogue","monster_brain","/* QUAKED monster_brain (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/brain/tris.md2","Brains."
"monster_carrier_rogue","monster_carrier","/* QUAKED monster_carrier (1 .5 0) (-56 -56 -44) (56 56 44) Ambush Trigger_Spawn Sight","models/monsters/carrier/tris.md2","Carrier boss."
"monster_chick_rogue","monster_chick","/* QUAKED monster_chick (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/bitch/tris.md2","Iron Maiden."
"monster_commander_body_rogue","monster_commander_body","/* QUAKED monster_commander_body (1 .5 0) (-32 -32 0) (32 32 48)","models/monsters/commandr/tris.md2","DECORATION ONLY. Tank Commander's body. Usually located near a Commander's Head. For the real thing use instead monster_tank_commander."
"monster_daedalus_rogue","monster_daedalus","/* QUAKED monster_daedalus (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/hover/tris.md2","Daedalus (Icarus improved)"
"monster_flipper_rogue","monster_flipper","/* QUAKED monster_flipper (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/flipper/tris.md2","Barracuda Shark."
"monster_floater_rogue","monster_floater","/* QUAKED monster_floater (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/float/tris.md2","Technician."
"monster_flyer_rogue","monster_flyer","/* QUAKED monster_flyer (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/flyer/tris.md2","Flyer."
"monster_gladiator_rogue","monster_gladiator","/* QUAKED monster_gladiator (1 .5 0) (-32 -32 -24) (32 32 64) Ambush Trigger_Spawn Sight","models/monsters/gladiatr/tris.md2","Gladiator."
"monster_gunner_rogue","monster_gunner","/* QUAKED monster_gunner (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/gunner/tris.md2","Gunner."
"monster_hover_rogue","monster_hover","/* QUAKED monster_hover (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/hover/tris.md2","Icarus."
"monster_infantry_rogue","monster_infantry","/* QUAKED monster_infantry (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/infantry/tris.md2","Enforcer."
"monster_jorg_rogue","monster_jorg","/* QUAKED monster_jorg (1 .5 0) (-80 -80 0) (90 90 140) Ambush Trigger_Spawn Sight","models/monsters/boss3/jorg/tris.md2","Jorg."
"monster_makron_rogue","monster_makron","/* QUAKED monster_makron (1 .5 0) (-30 -30 0) (30 30 90) Ambush Trigger_Spawn Sight","models/monsters/boss3/rider/tris.md2","BROKEN. Makron. Use monster_jorg instead."
"monster_medic_rogue","monster_medic","/* QUAKED monster_medic (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/medic/tris.md2","Medic."
"monster_medic_commander_rogue","monster_medic_commander","/* QUAKED monster_medic_commander (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/medic/tris.md2","Medic Commander. Heals and spawns other monsters."
"monster_mutant_rogue","monster_mutant","/* QUAKED monster_mutant (1 .5 0) (-32 -32 -24) (32 32 32) Ambush Trigger_Spawn Sight","models/monsters/mutant/tris.md2","Mutant."
"monster_parasite_rogue","monster_parasite","/* QUAKED monster_parasite (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/parasite/tris.md2","Parasite."
"monster_soldier_rogue","monster_soldier","/* QUAKED monster_soldier (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/soldier/tris.md2","Machinegun Guard."
"monster_soldier_light_rogue","monster_soldier_light","/* QUAKED monster_soldier_light (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/soldier/tris.md2","Light Guard."
"monster_soldier_ss_rogue","monster_soldier_ss","/* QUAKED monster_soldier_ss (1 .5 0) (-16 -16 -24) (16 16 32) Ambush Trigger_Spawn Sight","models/monsters/soldier/tris.md2","Shotgun Guard."
"monster_stalker_rogue","monster_stalker","/* QUAKED monster_stalker (1 .5 0) (-28 -28 -18) (28 28 18) Ambush Trigger_Spawn Sight OnRoof ","models/monsters/stalker/tris.md2","Stalker."
"monster_supertank_rogue","monster_supertank","/* QUAKED monster_supertank (1 .5 0) (-64 -64 0) (64 64 72) Ambush Trigger_Spawn Sight","models/monsters/boss1/tris.md2","Supertank."
"monster_tank_rogue","monster_tank","/* QUAKED monster_tank (1 .5 0) (-32 -32 -16) (32 32 72) Ambush Trigger_Spawn Sight","models/monsters/tank/tris.md2","Tank."
"monster_tank_commander_rogue","monster_tank_commander","/* QUAKED monster_tank_commander (1 .5 0) (-32 -32 -16) (32 32 72) Ambush Trigger_Spawn Sight","models/monsters/tank/tris.md2","Tank Commander."
"monster_turret_rogue","monster_turret","/* QUAKED monster_turret (1 .5 0) (-16 -16 -16) (16 16 16) Ambush Trigger_Spawn Sight Blaster MachineGun Rocket Heatbeam WallUnit","models/monsters/turret/tris.md2","Annoying Defense Turret."
"monster_widow_rogue","monster_widow","/* QUAKED monster_widow (1 .5 0) (-40 -40 0) (40 40 144) Ambush Trigger_Spawn Sight","models/monsters/blackwidow/tris.md2","Black Widow boss  Form 1."
"monster_widow2_rogue","monster_widow2","/* QUAKED monster_widow2 (1 .5 0) (-70 -70 0) (70 70 144) Ambush Trigger_Spawn Sight","models/monsters/blackwidow2/tris.md2","Black Widow boss  Form 2."
"path_corner_rogue","path_corner","/* QUAKED path_corner (.5 .3 0) (-8 -8 -8) (8 8 8) TELEPORT","","Path corner. Used mostly for func_trains and trigger_elevator-triggered func_plat. Also controls the patrol routes of monsters, misc_insanes, misc_vipers, misc_bigvipers and misc_strogg_ships."
"point_combat_rogue","point_combat","/* QUAKED point_combat (0.5 0.3 0) (-8 -8 -8) (8 8 8) Hold","","Combat points for monsters. A monster which is engaging the player will stop at this point and use their ranged attack. Can be linked in order to form a network that the monster will travel. Afterwards they will chase the player."
"target_anger_rogue","target_anger","/* QUAKED target_anger (1 0 0) (-8 -8 -8) (8 8 8)","","Causes an entity to be angry at another entity."
